Nivel superior;Unidad;Nivel de los Procesos de la Estructura Orgánica Funcional
Máxima Autoridad Institucional;Honorable Consejo Universitario;Procesos de Direccion o  Gobierno
Honorable Consejo Universitario;Rectorado;Procesos de Direccion o  Gobierno
Rectorado;Vicerrectorado Academico General;Procesos agregadores de valor
Rectorado;Unidad de Auditoria Interna;Procesos habilitantes de asesoria
Rectorado;Unidad de Planificación y Desarrollo Institucional;Procesos habilitantes de asesoria
Rectorado;Unidad de Comunicacion Social;Procesos habilitantes de asesoria
Rectorado;Unidad de Asesoría Juridica;Procesos habilitantes de asesoria
Rectorado;Unidad de Relaciones de Cooperacion Interinstitucional;Procesos habilitantes de asesoria
Rectorado;Unidad de Estudios Estrategicos;Procesos habilitantes de asesoria
Rectorado;Unidad de Tecnologias de la Informacion;Procesos habilitantes de apoyo
Rectorado;Secretaria General;Procesos habilitantes de apoyo
Rectorado;Vicerrectorado Administrativo;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad de Apoyo Administrativo IASA 1;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad de Talento Humano;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad de Logistica;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad de Servicios Universitarios;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad de Desarrollo Fisico;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad Financiera;Procesos habilitantes de apoyo
Vicerrectorado Administrativo;Unidad de Seguridad Integrada;Procesos habilitantes de apoyo
Vicerrectorado Academico General;Centro de Posgrados y Educacion Continua;Procesos agregadores de valor
Vicerrectorado Academico General;Biblioteca;Procesos agregadores de valor
Vicerrectorado Academico General;Unidad de Bienestar Universitario;Procesos agregadores de valor
Vicerrectorado Academico General;Vicerrectorado de Docencia;Procesos agregadores de valor
Vicerrectorado Academico General;Vicerrectorado de Investigacion, Innovacion y Transferencia de Tecnologia;Procesos agregadores de valor
Vicerrectorado de Docencia;Unidad de Desarrollo Educativo;Procesos agregadores de valor
Vicerrectorado de Docencia;Unidad de Admision;Procesos agregadores de valor
Vicerrectorado de Docencia;Unidad de Registro;Procesos agregadores de valor
Vicerrectorado de Docencia;Unidad de Apoyo a la Formacion Academica;Procesos agregadores de valor
Vicerrectorado de Docencia;Unidades de Ejecucion Docencia;Procesos agregadores de valor
Vicerrectorado de Investigacion, Innovacion y Transferencia de Tecnologia;Unidades de apoyo a la Investigacion;Procesos agregadores de valor
Vicerrectorado de Investigacion, Innovacion y Transferencia de Tecnologia;Unidades de apoyo Vinculacion con la Sociedad;Procesos agregadores de valor
Vicerrectorado de Investigacion, Innovacion y Transferencia de Tecnologia;Unidades de Ejecución Investigacion;Procesos agregadores de valor
Vicerrectorado de Investigacion, Innovacion y Transferencia de Tecnologia;Unidades de Ejecución Vinculacion con la Sociedad;Procesos agregadores de valor
Rectorado;Unidades Desconcentradas;Nivel Desconcentrado
